"drug_concept_id","count"
42948571,21
42948920,196
42950354,140
42950393,49
42950421,247
42950567,112
42953698,271
42953740,957
42954552,18
42955054,378
42956327,477
42958475,247
42959014,60
42959453,12
42959462,1
42959736,56
42959838,20
42959842,14
42959923,586
42960031,192
42960035,104
42960048,105
42960053,4193
42960059,369
42960379,49
42960392,15
42960476,71
42960480,383
42960484,2826
42960495,24310
42960517,79
42960575,3
42960645,12
42960648,11
42960653,103
42960672,83
42960686,969
42960714,80
42960717,40
42960786,40
42960846,372
42961057,13
42961064,76
42961090,1
42961095,135
42961101,105
42961250,1019
42961284,72
42961292,176
42961331,47
42961466,13
42961500,707
42961512,3834
42961550,293
42961751,702
42961942,18
42962067,79
42962244,12
42962252,8
42962269,64937
42962443,38
42962850,719
42962861,447
42963157,3
42965082,94
42965918,5307
42967396,181
42968504,502
42968754,217
42969173,161
42969232,111
42969306,214
42970213,6
42970229,2849
42970427,14
42970927,519
42971444,247
42971461,598
42971493,601
42971566,28
42971625,22
42971685,19
42971997,14855
42973974,2694
43013024,100
43013884,465
43134981,3260
43145869,78
43175631,61
43182786,64
43220317,7446
43259208,27126
43269829,3771
43269919,54
43281222,10
43291560,4766
43292367,2685
43521561,19
43525787,8
43527029,142
43527032,74
43527035,4
43581074,7
43658180,132
43674912,204
43700811,7299
43705984,1401
43707750,1
43752448,1
43753628,794
43789003,9
43799012,58
43868723,15789
44032794,54
44033466,54
44058589,3
44059955,4
44072147,3
44084020,236
44085643,1
44122973,457
44506794,1
44507722,497
44785094,9
44785540,93
44785829,467
44818489,16
45774751,308
45774774,85
45774870,49
45774943,3173
45774946,1981
45774949,4334
45774969,6
45775080,26
45775456,23
45775570,1119
45775620,54
45775965,12
45892075,1
45892579,8
45892628,70
45892847,379
45892850,3
46221696,11
46233863,55
46233931,11
46234047,45
46234373,46
46234437,88
46275427,876
46275444,11332
46275578,5
46275809,10
46287335,306
